Train source aleatoric domain uncertainty	Train target aleatoric domain uncertainty	Test target aleatoric domain uncertainty	
 1.6839e-03	 1.7540e-03	 1.8016e-03	
 1.6084e-03	 1.7238e-03	 1.5774e-03	
 1.6824e-03	 1.7599e-03	 1.5981e-03	
 1.6604e-03	 1.6837e-03	 1.4964e-03	
 1.6125e-03	 1.6739e-03	 1.5712e-03	
 1.6073e-03	 1.6302e-03	 1.6389e-03	
 1.4953e-03	 1.5795e-03	 1.5556e-03	
 1.5149e-03	 1.6367e-03	 1.4253e-03	
 1.6471e-03	 1.6518e-03	 1.6847e-03	
 1.5513e-03	 1.6403e-03	 1.4524e-03	
 1.4694e-03	 1.5480e-03	 1.4998e-03	
 1.5349e-03	 1.6650e-03	 1.3434e-03	
 1.4887e-03	 1.6033e-03	 1.4615e-03	
 1.4684e-03	 1.5048e-03	 1.4844e-03	
 1.4491e-03	 1.4507e-03	 1.3602e-03	
 1.5447e-03	 1.5918e-03	 1.4338e-03	
 1.4412e-03	 1.5220e-03	 1.2086e-03	
 1.5090e-03	 1.5178e-03	 1.4286e-03	
 1.4826e-03	 1.5098e-03	 1.3142e-03	
 1.4747e-03	 1.5338e-03	 1.3908e-03	
 1.4653e-03	 1.5649e-03	 1.4214e-03	
 1.4220e-03	 1.4870e-03	 1.2403e-03	
 1.4151e-03	 1.4448e-03	 1.4308e-03	
 1.4350e-03	 1.5346e-03	 1.4118e-03	
 1.4372e-03	 1.4777e-03	 1.2274e-03	
 1.4426e-03	 1.5215e-03	 1.3065e-03	
 1.4861e-03	 1.4639e-03	 1.3285e-03	
 1.4243e-03	 1.5217e-03	 1.2593e-03	
 1.4549e-03	 1.5236e-03	 1.4720e-03	
 1.3746e-03	 1.4064e-03	 1.3437e-03	
 1.4266e-03	 1.3940e-03	 1.2920e-03	
 1.3884e-03	 1.4420e-03	 1.3530e-03	
 1.3470e-03	 1.4333e-03	 1.2036e-03	
 1.3860e-03	 1.3981e-03	 1.4670e-03	
 1.3664e-03	 1.5484e-03	 1.3506e-03	
 1.4251e-03	 1.3490e-03	 1.3472e-03	
 1.4259e-03	 1.4883e-03	 1.4431e-03	
 1.3618e-03	 1.4182e-03	 1.2936e-03	
 1.3568e-03	 1.4688e-03	 1.3724e-03	
 1.3482e-03	 1.4996e-03	 1.2798e-03	
 1.3956e-03	 1.4852e-03	 1.3796e-03	
 1.2586e-03	 1.3728e-03	 1.2455e-03	
 1.3748e-03	 1.2899e-03	 1.1593e-03	
 1.3547e-03	 1.3935e-03	 1.2829e-03	
 1.3046e-03	 1.3306e-03	 1.2728e-03	
 1.3164e-03	 1.3305e-03	 1.2364e-03	
 1.3006e-03	 1.3253e-03	 1.3263e-03	
 1.3203e-03	 1.4083e-03	 1.1098e-03	
 1.2573e-03	 1.3164e-03	 1.2012e-03	
 1.2932e-03	 1.3806e-03	 1.2148e-03	
