Train error	Test error	Train error cross	Test error cross	
 1.7113e+00	 1.7543e+00	 4.3030e-01	 6.0883e-01	
 1.7125e+00	 1.7541e+00	 4.3300e-01	 5.9860e-01	
 1.7142e+00	 1.7494e+00	 4.3483e-01	 5.7151e-01	
 1.7134e+00	 1.7443e+00	 4.3305e-01	 5.8556e-01	
 1.7115e+00	 1.7469e+00	 4.3240e-01	 5.6425e-01	
 1.7094e+00	 1.7388e+00	 4.2842e-01	 5.7848e-01	
 1.7122e+00	 1.7444e+00	 4.3234e-01	 5.7994e-01	
 1.7109e+00	 1.7459e+00	 4.3141e-01	 5.8283e-01	
 1.7098e+00	 1.7416e+00	 4.3049e-01	 5.7193e-01	
 1.7116e+00	 1.7478e+00	 4.3182e-01	 5.8965e-01	
 1.7120e+00	 1.7402e+00	 4.3330e-01	 5.4201e-01	
 1.7148e+00	 1.7420e+00	 4.3592e-01	 5.6828e-01	
 1.7107e+00	 1.7436e+00	 4.3123e-01	 5.7893e-01	
 1.7143e+00	 1.7381e+00	 4.3599e-01	 5.5869e-01	
 1.7128e+00	 1.7477e+00	 4.3435e-01	 5.8952e-01	
 1.7096e+00	 1.7430e+00	 4.2936e-01	 5.6787e-01	
 1.7126e+00	 1.7469e+00	 4.3347e-01	 5.9039e-01	
 1.7115e+00	 1.7408e+00	 4.3260e-01	 5.7662e-01	
 1.7111e+00	 1.7318e+00	 4.3137e-01	 5.4018e-01	
 1.7149e+00	 1.7428e+00	 4.3918e-01	 5.5953e-01	
 1.7119e+00	 1.7439e+00	 4.3225e-01	 5.7382e-01	
 1.7111e+00	 1.7378e+00	 4.3186e-01	 5.4691e-01	
 1.7133e+00	 1.7404e+00	 4.3418e-01	 5.7853e-01	
 1.7152e+00	 1.7481e+00	 4.3770e-01	 5.8789e-01	
 1.7125e+00	 1.7444e+00	 4.3313e-01	 6.0620e-01	
 1.7110e+00	 1.7363e+00	 4.3282e-01	 5.5890e-01	
 1.7137e+00	 1.7438e+00	 4.3409e-01	 6.0139e-01	
 1.7100e+00	 1.7427e+00	 4.2986e-01	 5.7982e-01	
 1.7104e+00	 1.7368e+00	 4.3128e-01	 5.5591e-01	
 1.7135e+00	 1.7351e+00	 4.3486e-01	 5.5837e-01	
 1.7136e+00	 1.7372e+00	 4.3672e-01	 5.3106e-01	
 1.7119e+00	 1.7340e+00	 4.3262e-01	 5.5774e-01	
 1.7107e+00	 1.7367e+00	 4.3178e-01	 5.7846e-01	
 1.7113e+00	 1.7409e+00	 4.3143e-01	 6.0744e-01	
 1.7135e+00	 1.7348e+00	 4.3466e-01	 5.4747e-01	
 1.7133e+00	 1.7331e+00	 4.3562e-01	 5.7325e-01	
 1.7125e+00	 1.7326e+00	 4.3427e-01	 5.4392e-01	
 1.7122e+00	 1.7339e+00	 4.3280e-01	 5.8446e-01	
 1.7102e+00	 1.7308e+00	 4.3167e-01	 5.2630e-01	
 1.7103e+00	 1.7284e+00	 4.3083e-01	 5.3177e-01	
 1.7113e+00	 1.7366e+00	 4.3306e-01	 5.9138e-01	
 1.7126e+00	 1.7358e+00	 4.3511e-01	 5.8714e-01	
 1.7097e+00	 1.7294e+00	 4.3084e-01	 5.5257e-01	
 1.7124e+00	 1.7309e+00	 4.3692e-01	 5.4271e-01	
 1.7113e+00	 1.7341e+00	 4.3137e-01	 5.9455e-01	
 1.7117e+00	 1.7327e+00	 4.3345e-01	 5.5656e-01	
 1.7101e+00	 1.7353e+00	 4.2908e-01	 5.5675e-01	
 1.7117e+00	 1.7298e+00	 4.3240e-01	 5.4376e-01	
 1.7082e+00	 1.7259e+00	 4.2920e-01	 5.2650e-01	
 1.7102e+00	 1.7322e+00	 4.3152e-01	 5.6491e-01	
