Train source diff entropy	Train target diff entropy	Test diff entropy	
-1.1677e+02	-1.1487e+02	-1.0286e+02	
-1.1712e+02	-1.1658e+02	-1.0262e+02	
-1.1692e+02	-1.1666e+02	-1.0421e+02	
-1.1711e+02	-1.1607e+02	-1.0256e+02	
-1.1684e+02	-1.1699e+02	-1.0166e+02	
-1.1702e+02	-1.1593e+02	-1.0053e+02	
-1.1727e+02	-1.1688e+02	-1.0314e+02	
-1.1685e+02	-1.1646e+02	-1.0168e+02	
-1.1702e+02	-1.1602e+02	-1.0319e+02	
-1.1710e+02	-1.1638e+02	-1.0117e+02	
-1.1678e+02	-1.1565e+02	-1.0396e+02	
-1.1677e+02	-1.1619e+02	-1.0348e+02	
-1.1682e+02	-1.1666e+02	-1.0102e+02	
-1.1681e+02	-1.1629e+02	-1.0117e+02	
-1.1654e+02	-1.1602e+02	-1.0245e+02	
-1.1652e+02	-1.1588e+02	-1.0310e+02	
-1.1693e+02	-1.1504e+02	-1.0068e+02	
-1.1678e+02	-1.1619e+02	-1.0253e+02	
-1.1711e+02	-1.1638e+02	-1.0272e+02	
-1.1703e+02	-1.1630e+02	-1.0296e+02	
-1.1654e+02	-1.1541e+02	-1.0354e+02	
-1.1671e+02	-1.1539e+02	-1.0205e+02	
-1.1671e+02	-1.1521e+02	-1.0171e+02	
-1.1667e+02	-1.1540e+02	-1.0376e+02	
-1.1679e+02	-1.1568e+02	-1.0298e+02	
-1.1696e+02	-1.1583e+02	-1.0300e+02	
-1.1680e+02	-1.1591e+02	-1.0209e+02	
-1.1674e+02	-1.1603e+02	-1.0254e+02	
-1.1686e+02	-1.1657e+02	-1.0196e+02	
-1.1699e+02	-1.1611e+02	-1.0338e+02	
-1.1694e+02	-1.1625e+02	-1.0230e+02	
-1.1718e+02	-1.1594e+02	-1.0278e+02	
-1.1666e+02	-1.1573e+02	-1.0293e+02	
-1.1679e+02	-1.1519e+02	-1.0174e+02	
-1.1674e+02	-1.1584e+02	-1.0187e+02	
-1.1690e+02	-1.1613e+02	-1.0180e+02	
-1.1685e+02	-1.1599e+02	-1.0278e+02	
-1.1675e+02	-1.1619e+02	-1.0197e+02	
-1.1665e+02	-1.1518e+02	-1.0282e+02	
-1.1712e+02	-1.1680e+02	-1.0292e+02	
