Train source var	Train target var	Test var	
 2.0264e-03	 2.0407e-03	 2.2281e-03	
 2.0232e-03	 2.0132e-03	 2.2369e-03	
 2.0246e-03	 2.0084e-03	 2.1791e-03	
 2.0251e-03	 2.0148e-03	 2.2348e-03	
 2.0270e-03	 2.0082e-03	 2.2648e-03	
 2.0250e-03	 2.0327e-03	 2.2968e-03	
 2.0240e-03	 2.0076e-03	 2.2262e-03	
 2.0214e-03	 2.0137e-03	 2.2700e-03	
 2.0254e-03	 2.0192e-03	 2.2120e-03	
 2.0237e-03	 2.0192e-03	 2.2815e-03	
 2.0296e-03	 2.0305e-03	 2.1942e-03	
 2.0257e-03	 2.0150e-03	 2.2135e-03	
 2.0254e-03	 2.0105e-03	 2.2911e-03	
 2.0244e-03	 2.0229e-03	 2.2819e-03	
 2.0276e-03	 2.0280e-03	 2.2538e-03	
 2.0274e-03	 2.0238e-03	 2.2244e-03	
 2.0216e-03	 2.0402e-03	 2.3008e-03	
 2.0238e-03	 2.0320e-03	 2.2479e-03	
 2.0284e-03	 2.0220e-03	 2.2293e-03	
 2.0258e-03	 2.0259e-03	 2.2268e-03	
 2.0323e-03	 2.0334e-03	 2.2160e-03	
 2.0259e-03	 2.0329e-03	 2.2578e-03	
 2.0255e-03	 2.0364e-03	 2.2705e-03	
 2.0264e-03	 2.0359e-03	 2.2118e-03	
 2.0227e-03	 2.0310e-03	 2.2344e-03	
 2.0264e-03	 2.0373e-03	 2.2338e-03	
 2.0295e-03	 2.0245e-03	 2.2667e-03	
 2.0223e-03	 2.0202e-03	 2.2414e-03	
 2.0244e-03	 2.0113e-03	 2.2662e-03	
 2.0235e-03	 2.0248e-03	 2.2238e-03	
 2.0273e-03	 2.0254e-03	 2.2531e-03	
 2.0219e-03	 2.0215e-03	 2.2441e-03	
 2.0283e-03	 2.0276e-03	 2.2210e-03	
 2.0233e-03	 2.0415e-03	 2.2722e-03	
 2.0255e-03	 2.0268e-03	 2.2641e-03	
 2.0229e-03	 2.0263e-03	 2.2689e-03	
 2.0252e-03	 2.0303e-03	 2.2384e-03	
 2.0282e-03	 2.0224e-03	 2.2700e-03	
 2.0262e-03	 2.0391e-03	 2.2452e-03	
 2.0269e-03	 2.0103e-03	 2.2353e-03	
 2.0290e-03	 2.0140e-03	 2.2052e-03	
 2.0259e-03	 2.0439e-03	 2.1734e-03	
 2.0248e-03	 2.0141e-03	 2.2521e-03	
 2.0226e-03	 2.0271e-03	 2.2631e-03	
 2.0239e-03	 2.0311e-03	 2.2136e-03	
 2.0292e-03	 2.0073e-03	 2.2525e-03	
 2.0268e-03	 2.0329e-03	 2.1751e-03	
 2.0276e-03	 2.0410e-03	 2.2372e-03	
 2.0262e-03	 2.0277e-03	 2.2587e-03	
 2.0274e-03	 2.0306e-03	 2.2197e-03	
 2.0244e-03	 2.0367e-03	 2.2593e-03	
 2.0258e-03	 2.0398e-03	 2.2117e-03	
 2.0208e-03	 2.0232e-03	 2.2572e-03	
 2.0291e-03	 2.0228e-03	 2.2472e-03	
 2.0307e-03	 2.0228e-03	 2.1943e-03	
 2.0293e-03	 2.0072e-03	 2.2061e-03	
 2.0273e-03	 2.0295e-03	 2.2418e-03	
 2.0244e-03	 2.0363e-03	 2.2364e-03	
 2.0288e-03	 2.0190e-03	 2.1646e-03	
