Train source aleatoric error	Train target aleatoric error	Test target aleatoric error	
 8.7053e-01	 5.4342e-01	 5.3860e-01	
 8.7545e-01	 5.4192e-01	 5.3220e-01	
 8.7820e-01	 5.4146e-01	 5.3246e-01	
 8.7173e-01	 5.4379e-01	 5.3088e-01	
 8.7557e-01	 5.4054e-01	 5.3775e-01	
 8.7207e-01	 5.4362e-01	 5.3584e-01	
 8.7619e-01	 5.4170e-01	 5.3742e-01	
 8.7194e-01	 5.4400e-01	 5.3024e-01	
 8.7684e-01	 5.4359e-01	 5.3280e-01	
 8.7029e-01	 5.4351e-01	 5.3062e-01	
 8.7240e-01	 5.4253e-01	 5.3458e-01	
 8.7403e-01	 5.4323e-01	 5.3224e-01	
 8.7602e-01	 5.4261e-01	 5.3197e-01	
 8.7669e-01	 5.4151e-01	 5.2662e-01	
 8.7586e-01	 5.4183e-01	 5.3621e-01	
 8.7650e-01	 5.4393e-01	 5.2847e-01	
 8.7512e-01	 5.4121e-01	 5.3080e-01	
 8.7244e-01	 5.4207e-01	 5.3265e-01	
 8.7257e-01	 5.4290e-01	 5.2696e-01	
 8.7146e-01	 5.4283e-01	 5.3342e-01	
 8.7405e-01	 5.4302e-01	 5.2836e-01	
 8.7216e-01	 5.4239e-01	 5.3400e-01	
 8.6819e-01	 5.4458e-01	 5.3326e-01	
 8.7297e-01	 5.4213e-01	 5.3875e-01	
 8.7503e-01	 5.4202e-01	 5.3576e-01	
 8.7801e-01	 5.4035e-01	 5.3536e-01	
 8.7492e-01	 5.4259e-01	 5.3743e-01	
 8.6898e-01	 5.4279e-01	 5.3486e-01	
 8.7504e-01	 5.4037e-01	 5.3711e-01	
 8.7963e-01	 5.3921e-01	 5.3302e-01	
 8.7001e-01	 5.4257e-01	 5.3316e-01	
 8.7257e-01	 5.4311e-01	 5.3865e-01	
 8.7187e-01	 5.4175e-01	 5.3452e-01	
 8.6942e-01	 5.4424e-01	 5.3939e-01	
 8.8098e-01	 5.3897e-01	 5.2772e-01	
 8.7197e-01	 5.4107e-01	 5.3743e-01	
 8.7228e-01	 5.4270e-01	 5.3632e-01	
 8.6932e-01	 5.4585e-01	 5.3434e-01	
 8.6862e-01	 5.4473e-01	 5.4139e-01	
 8.6922e-01	 5.4278e-01	 5.3956e-01	
 8.7117e-01	 5.4497e-01	 5.3637e-01	
 8.7838e-01	 5.3963e-01	 5.2958e-01	
 8.7315e-01	 5.4102e-01	 5.3650e-01	
 8.7374e-01	 5.4209e-01	 5.3116e-01	
 8.7117e-01	 5.4240e-01	 5.3132e-01	
 8.7390e-01	 5.4246e-01	 5.3029e-01	
 8.6962e-01	 5.4356e-01	 5.3442e-01	
 8.6994e-01	 5.4383e-01	 5.3415e-01	
 8.6934e-01	 5.4602e-01	 5.2986e-01	
 8.7139e-01	 5.4275e-01	 5.3322e-01	
 8.7129e-01	 5.4231e-01	 5.3854e-01	
 8.7946e-01	 5.4035e-01	 5.2350e-01	
 8.7396e-01	 5.3837e-01	 5.3519e-01	
 8.7734e-01	 5.3888e-01	 5.3273e-01	
 8.7118e-01	 5.4231e-01	 5.2942e-01	
 8.7348e-01	 5.4305e-01	 5.2992e-01	
 8.6732e-01	 5.4631e-01	 5.3462e-01	
 8.7036e-01	 5.4240e-01	 5.3734e-01	
 8.7748e-01	 5.4163e-01	 5.2593e-01	
